#,,,"generated_by='OpenQuake engine 3.15.0-git6830da70dc', start_date='2022-06-20T16:51:43', checksum=179802014, investigation_time=50.0, mag_bin_edges=[4.0, 5.0, 6.0, 7.0, 8.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0], lon_bin_edges=[10.649030690311356, 10.921360613610094, 11.193690536908832, 11.46602046020757, 11.738350383506306, 12.010680306805044, 12.283010230103782, 12.555340153402518, 12.827670076701256, 13.099999999999994, 13.372329923298732, 13.64465984659747, 13.916989769896206, 14.189319693194944, 14.461649616493682, 14.733979539792418, 15.006309463091156, 15.278639386389894, 15.550969309688632], lat_bin_edges=[40.99136, 41.19120888888889, 41.391057777777775, 41.59090666666667, 41.790755555555556, 41.99060444444444, 42.19045333333333, 42.390302222222225, 42.59015111111111, 42.79, 42.989848888888886, 43.18969777777778, 43.38954666666667, 43.589395555555555, 43.78924444444444, 43.98909333333334, 44.188942222222224, 44.38879111111111, 44.58864], eps_bin_edges=[-3.0, -1.0, 1.0, 3.0], tectonic_region_types=['Shallow Default'], rlz_ids=[12], weights=[1.0], lon=13.099999999999994, lat=42.79"
imt,poe,dist,rlz12
SA(2.0),0.1,6.50000E+01,2.15995E-04
SA(2.0),0.1,7.50000E+01,9.08979E-05
SA(2.0),0.1,8.50000E+01,7.27840E-05
SA(2.0),0.1,9.50000E+01,3.02572E-05
SA(2.0),0.1,1.05000E+02,1.77470E-05
SA(2.0),0.1,1.15000E+02,7.32606E-06
SA(2.0),0.1,1.25000E+02,2.51059E-06
SA(2.0),0.1,1.35000E+02,4.44227E-07
SA(2.0),0.1,1.45000E+02,4.17174E-07
SA(2.0),0.1,1.55000E+02,3.32001E-07
SA(2.0),0.1,1.65000E+02,8.53214E-08
SA(2.0),0.1,1.75000E+02,1.86050E-08
SA(2.0),0.1,1.85000E+02,0.00000E+00
SA(2.0),0.1,1.95000E+02,0.00000E+00
SA(2.0),0.05,5.00000E+00,2.98458E-02
SA(2.0),0.05,1.50000E+01,1.56617E-02
SA(2.0),0.05,2.50000E+01,3.74141E-03
SA(2.0),0.05,3.50000E+01,9.92670E-04
SA(2.0),0.05,4.50000E+01,3.27839E-04
SA(2.0),0.05,5.50000E+01,1.19202E-04
SA(2.0),0.05,6.50000E+01,3.01087E-05
SA(2.0),0.05,7.50000E+01,9.43924E-06
SA(2.0),0.05,8.50000E+01,6.16302E-06
SA(2.0),0.05,9.50000E+01,1.59936E-06
SA(2.0),0.05,1.05000E+02,4.36840E-07
SA(2.0),0.05,1.15000E+02,4.38056E-09
SA(2.0),0.05,1.25000E+02,0.00000E+00
SA(2.0),0.05,1.35000E+02,0.00000E+00
SA(2.0),0.05,1.45000E+02,0.00000E+00
SA(2.0),0.05,1.55000E+02,0.00000E+00
SA(2.0),0.05,1.65000E+02,0.00000E+00
SA(2.0),0.05,1.75000E+02,0.00000E+00
SA(2.0),0.05,1.85000E+02,0.00000E+00
SA(2.0),0.05,1.95000E+02,0.00000E+00
